,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
188,"(5, (0.6, 0.4), (150, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.7137709643605868,0.7711772798742138,0.77,0.6933333333333334,0.77,0.7699999999999999,0.6891216714926475,0.7595597002214274,0.77
189,"(5, (0.6, 0.4), (200, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49,0.4553420011305822,0.489047484454494,0.49,0.41333333333333333,0.49,0.49,0.41021974355307694,0.46982696982696986,0.49
190,"(5, (0.6, 0.4), (200, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.4058331605501417,0.44116732324279495,0.45,0.4066666666666667,0.45,0.45,0.4053777413596647,0.44481000504887475,0.45
191,"(5, (0.6, 0.4), (200, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57,0.5277777777777778,0.5625,0.57,0.52,0.57,0.57,0.5228520213322645,0.5652159390761214,0.57
192,"(5, (0.6, 0.4), (200, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.5730127360562144,0.6513504611330698,0.63,0.58,0.63,0.63,0.5716149017689737,0.6361579848373685,0.63
193,"(5, (0.6, 0.4), (200, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59,0.5396475350364685,0.6256658838354909,0.59,0.5333333333333333,0.59,0.59,0.5337571290097157,0.604618922026104,0.59
194,"(5, (0.6, 0.4), (200, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.6180458158017765,0.7026647966339411,0.68,0.6133333333333333,0.68,0.68,0.613095238095238,0.6889880952380952,0.68
195,"(5, (0.6, 0.4), (200, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.5890063814592117,0.6728868615661068,0.69,0.5933333333333334,0.69,0.69,0.589956877643417,0.6803317359024657,0.69
196,"(5, (0.7, 0.3), (50, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,0.665272473783112,0.7436352064011638,0.73,0.6666666666666666,0.73,0.7299999999999999,0.6653216401548724,0.73610463217801,0.73
197,"(5, (0.7, 0.3), (50, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.6824561403508772,0.7618421052631578,0.71,0.6666666666666666,0.71,0.7100000000000001,0.6620197837589141,0.7247757073844031,0.71
198,"(5, (0.7, 0.3), (50, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,0.7483091787439613,0.8057971014492753,0.79,0.7533333333333333,0.79,0.79,0.7483688930117501,0.7956516697588127,0.79
199,"(5, (0.7, 0.3), (50, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.6872648049118637,0.7556446821152705,0.76,0.6866666666666666,0.76,0.76,0.6859528014994626,0.7570388585503395,0.76
200,"(5, (0.7, 0.3), (50, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8041025641025641,0.8530769230769231,0.85,0.8066666666666666,0.85,0.85,0.8052604476133888,0.851420083184789,0.85
201,"(5, (0.7, 0.3), (50, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86,0.8404369191845472,0.8707123047730257,0.86,0.8133333333333334,0.86,0.8599999999999999,0.8148926237161532,0.8562675070028011,0.86
202,"(5, (0.7, 0.3), (50, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7411688311688311,0.8008766233766234,0.8,0.7400000000000001,0.8,0.8000000000000002,0.7390847049377761,0.7993135287033319,0.8
