S No.,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
452,"(10, (0.2, 0.8), (200, 500))",1,1,1,1,1,1,1,1,1,1,1,0.78238342,0.756832663,0.779386813,0.78238342,0.751411217,0.78238342,0.78238342,0.752463685,0.779499794,0.78238342
453,"(10, (0.3, 0.7), (50, 200))",1,1,1,1,1,1,1,1,1,1,1,0.658031088,0.632548309,0.680403807,0.658031088,0.625750982,0.658031088,0.658031088,0.621267001,0.662306995,0.658031088
454,"(10, (0.3, 0.7), (50, 250))",1,1,1,1,1,1,1,1,1,1,1,0.663212435,0.633980882,0.680649753,0.663212435,0.631644907,0.663212435,0.663212435,0.624459345,0.664601301,0.663212435
455,"(10, (0.3, 0.7), (50, 300))",1,1,1,1,1,1,1,1,1,1,1,0.689119171,0.679222333,0.680433415,0.689119171,0.654845697,0.689119171,0.689119171,0.655900227,0.67435367,0.689119171
456,"(10, (0.3, 0.7), (50, 350))",1,1,1,1,1,1,1,1,1,1,1,0.668393782,0.645469782,0.691056238,0.668393782,0.64026522,0.668393782,0.668393782,0.634914199,0.672805244,0.668393782
457,"(10, (0.3, 0.7), (50, 400))",1,1,1,1,1,1,1,1,1,1,1,0.668393782,0.644562059,0.689711187,0.668393782,0.642705456,0.668393782,0.668393782,0.63148893,0.668396482,0.668393782
458,"(10, (0.3, 0.7), (50, 450))",1,1,1,1,1,1,1,1,1,1,1,0.704663212,0.738512105,0.721500472,0.704663212,0.667503925,0.704663212,0.704663212,0.674266398,0.68735407,0.704663212
459,"(10, (0.3, 0.7), (50, 500))",1,1,1,1,1,1,1,1,1,1,1,0.611398964,0.570264371,0.583216021,0.611398964,0.564526492,0.611398964,0.611398964,0.553641007,0.584068465,0.611398964
460,"(10, (0.3, 0.7), (100, 200))",1,1,1,1,1,1,1,1,1,1,1,0.652849741,0.601869796,0.624629864,0.652849741,0.612107121,0.652849741,0.652849741,0.60222141,0.63347669,0.652849741
461,"(10, (0.3, 0.7), (100, 250))",1,1,1,1,1,1,1,1,1,1,1,0.67357513,0.626637516,0.649690592,0.67357513,0.64601607,0.67357513,0.67357513,0.626328931,0.651304742,0.67357513
462,"(10, (0.3, 0.7), (100, 300))",1,1,1,1,1,1,1,1,1,1,1,0.642487047,0.586411443,0.623425167,0.642487047,0.602616431,0.642487047,0.642487047,0.589098532,0.627448105,0.642487047
463,"(10, (0.3, 0.7), (100, 350))",1,1,1,1,1,1,1,1,1,1,1,0.668393782,0.633271715,0.673435736,0.668393782,0.640122144,0.668393782,0.668393782,0.626748281,0.661965238,0.668393782
464,"(10, (0.3, 0.7), (100, 400))",1,1,1,1,1,1,1,1,1,1,1,0.67357513,0.644802353,0.651876087,0.67357513,0.63764349,0.67357513,0.67357513,0.631131321,0.652203136,0.67357513
465,"(10, (0.3, 0.7), (100, 450))",1,1,1,1,1,1,1,1,1,1,1,0.658031088,0.647330447,0.646250813,0.658031088,0.62240195,0.658031088,0.658031088,0.62048427,0.638309826,0.658031088
466,"(10, (0.3, 0.7), (100, 500))",1,1,1,1,1,1,1,1,1,1,1,0.647668394,0.593416883,0.628065929,0.647668394,0.606978916,0.647668394,0.647668394,0.597188473,0.634618939,0.647668394
467,"(10, (0.3, 0.7), (150, 200))",1,1,1,1,1,1,1,1,1,1,1,0.663212435,0.62536075,0.654187134,0.663212435,0.638486047,0.663212435,0.663212435,0.621274807,0.648456006,0.663212435
468,"(10, (0.3, 0.7), (150, 250))",1,1,1,1,1,1,1,1,1,1,1,0.668393782,0.616649467,0.656322153,0.668393782,0.624908425,0.668393782,0.668393782,0.619608157,0.661095313,0.668393782
469,"(10, (0.3, 0.7), (150, 300))",1,1,1,1,1,1,1,1,1,1,1,0.735751295,0.708000678,0.724328487,0.735751295,0.707697607,0.735751295,0.735751295,0.705497326,0.72743665,0.735751295
470,"(10, (0.3, 0.7), (150, 350))",1,1,1,1,1,1,1,1,1,1,1,0.658031088,0.609484566,0.644025382,0.658031088,0.619818638,0.658031088,0.658031088,0.612106118,0.648357298,0.658031088
471,"(10, (0.3, 0.7), (150, 400))",1,1,1,1,1,1,1,1,1,1,1,0.683937824,0.647494318,0.66747861,0.683937824,0.652300803,0.683937824,0.683937824,0.646622684,0.672049008,0.683937824
472,"(10, (0.3, 0.7), (150, 450))",1,1,1,1,1,1,1,1,1,1,1,0.797927461,0.77457815,0.792570791,0.797927461,0.761486133,0.797927461,0.797927461,0.763101594,0.791196603,0.797927461
473,"(10, (0.3, 0.7), (150, 500))",1,1,1,1,1,1,1,1,1,1,1,0.735751295,0.718622615,0.723455073,0.735751295,0.709229047,0.735751295,0.735751295,0.706427685,0.721453123,0.735751295
474,"(10, (0.3, 0.7), (200, 200))",1,1,1,1,1,1,1,1,1,1,1,0.704663212,0.675174825,0.69342911,0.704663212,0.670373388,0.704663212,0.704663212,0.670056257,0.696574831,0.704663212
475,"(10, (0.3, 0.7), (200, 250))",1,1,1,1,1,1,1,1,1,1,1,0.772020725,0.752696078,0.766652697,0.772020725,0.752110698,0.772020725,0.772020725,0.751617132,0.768460565,0.772020725
476,"(10, (0.3, 0.7), (200, 300))",1,1,1,1,1,1,1,1,1,1,1,0.694300518,0.666136878,0.710173062,0.694300518,0.658585537,0.694300518,0.694300518,0.661600525,0.70141606,0.694300518
