S No.,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
19,"(2, (0, 1), (150, 450))",1,1,1,1,1,1,1,1,1,1,1,0.82,0.774917709,0.826086241,0.82,0.773333333,0.82,0.82,0.768734969,0.818975469,0.82
20,"(2, (0, 1), (150, 500))",1,1,1,1,1,1,1,1,1,1,1,0.75,0.69047619,0.767857143,0.75,0.7,0.75,0.75,0.686159844,0.751461988,0.75
21,"(2, (0, 1), (200, 200))",1,1,1,1,1,1,1,1,1,1,1,0.79,0.727941176,0.795955882,0.79,0.72,0.79,0.79,0.710624225,0.782968169,0.79
22,"(2, (0, 1), (200, 250))",1,1,1,1,1,1,1,1,1,1,1,0.8,0.744916537,0.794536459,0.8,0.733333333,0.8,0.8,0.73443077,0.793541524,0.8
23,"(2, (0, 1), (200, 300))",1,1,1,1,1,1,1,1,1,1,1,0.81,0.753320683,0.810088552,0.81,0.746666667,0.81,0.81,0.742269991,0.804227246,0.81
24,"(2, (0, 1), (200, 350))",1,1,1,1,1,1,1,1,1,1,1,0.84,0.821522922,0.856526807,0.84,0.786666667,0.84,0.84,0.784843363,0.833730561,0.84
25,"(2, (0, 1), (200, 400))",1,1,1,1,1,1,1,1,1,1,1,0.9,0.878890775,0.909168081,0.9,0.866666667,0.9,0.9,0.864718615,0.898538961,0.9
26,"(2, (0, 1), (200, 450))",1,1,1,1,1,1,1,1,1,1,1,0.78,0.72127451,0.785955882,0.78,0.713333333,0.78,0.78,0.703957558,0.772968169,0.78
27,"(2, (0, 1), (200, 500))",1,1,1,1,1,1,1,1,1,1,1,0.78,0.730128205,0.797596154,0.78,0.726666667,0.78,0.78,0.699272368,0.766722317,0.78
28,"(2, (0.1, 0.9), (50, 200))",1,1,1,1,1,1,1,1,1,1,1,0.82,0.765704584,0.824278438,0.82,0.76,0.82,0.82,0.756493506,0.81737013,0.82
29,"(2, (0.1, 0.9), (50, 250))",1,1,1,1,1,1,1,1,1,1,1,0.81,0.75,0.8125,0.81,0.746666667,0.81,0.81,0.744107744,0.808080808,0.81
30,"(2, (0.1, 0.9), (50, 300))",1,1,1,1,1,1,1,1,1,1,1,0.86,0.818941044,0.859303823,0.86,0.813333333,0.86,0.86,0.814757499,0.858592876,0.86
31,"(2, (0.1, 0.9), (50, 350))",1,1,1,1,1,1,1,1,1,1,1,0.87,0.833333333,0.875,0.87,0.826666667,0.87,0.87,0.824915825,0.868686869,0.87
32,"(2, (0.1, 0.9), (50, 400))",1,1,1,1,1,1,1,1,1,1,1,0.79,0.739365079,0.79952381,0.79,0.726666667,0.79,0.79,0.715555556,0.781666667,0.79
33,"(2, (0.1, 0.9), (50, 450))",1,1,1,1,1,1,1,1,1,1,1,0.72,0.650161031,0.73218599,0.72,0.66,0.72,0.72,0.644181281,0.717510961,0.72
34,"(2, (0.1, 0.9), (50, 500))",1,1,1,1,1,1,1,1,1,1,1,0.76,0.69924812,0.77443609,0.76,0.706666667,0.76,0.76,0.693181818,0.759469697,0.76
35,"(2, (0.1, 0.9), (100, 200))",1,1,1,1,1,1,1,1,1,1,1,0.79,0.736111111,0.802083333,0.79,0.733333333,0.79,0.79,0.718640435,0.783878285,0.79
36,"(2, (0.1, 0.9), (100, 250))",1,1,1,1,1,1,1,1,1,1,1,0.78,0.718234981,0.788676236,0.78,0.72,0.78,0.78,0.711588084,0.778589022,0.78
37,"(2, (0.1, 0.9), (100, 300))",1,1,1,1,1,1,1,1,1,1,1,0.78,0.70771757,0.780788177,0.78,0.706666667,0.78,0.78,0.704777241,0.778582931,0.78
38,"(2, (0.1, 0.9), (100, 350))",1,1,1,1,1,1,1,1,1,1,1,0.76,0.690590112,0.767942584,0.76,0.693333333,0.76,0.76,0.684942315,0.758604696,0.76
39,"(2, (0.1, 0.9), (100, 400))",1,1,1,1,1,1,1,1,1,1,1,0.78,0.733099415,0.794824561,0.78,0.713333333,0.78,0.78,0.693033033,0.764774775,0.78
40,"(2, (0.1, 0.9), (100, 450))",1,1,1,1,1,1,1,1,1,1,1,0.78,0.718234981,0.788676236,0.78,0.72,0.78,0.78,0.711588084,0.778589022,0.78
41,"(2, (0.1, 0.9), (100, 500))",1,1,1,1,1,1,1,1,1,1,1,0.72,0.648348368,0.720955153,0.72,0.653333333,0.72,0.72,0.649139146,0.719177592,0.72
42,"(2, (0.1, 0.9), (150, 200))",1,1,1,1,1,1,1,1,1,1,1,0.77,0.7003367,0.775252525,0.77,0.7,0.77,0.77,0.691901641,0.766400979,0.77
43,"(2, (0.1, 0.9), (150, 250))",1,1,1,1,1,1,1,1,1,1,1,0.73,0.666666667,0.75,0.73,0.673333333,0.73,0.73,0.664529997,0.735239603,0.73
44,"(2, (0.1, 0.9), (150, 300))",1,1,1,1,1,1,1,1,1,1,1,0.82,0.784984985,0.838738739,0.82,0.773333333,0.82,0.82,0.757175774,0.812779789,0.82
45,"(2, (0.1, 0.9), (150, 350))",1,1,1,1,1,1,1,1,1,1,1,0.78,0.709111488,0.781833616,0.78,0.706666667,0.78,0.78,0.702380952,0.776785714,0.78
46,"(2, (0.1, 0.9), (150, 400))",1,1,1,1,1,1,1,1,1,1,1,0.84,0.841491841,0.881118881,0.84,0.786666667,0.84,0.84,0.768518519,0.826388889,0.84
47,"(2, (0.1, 0.9), (150, 450))",1,1,1,1,1,1,1,1,1,1,1,0.7,0.581091351,0.66621067,0.7,0.62,0.7,0.7,0.559124129,0.652016364,0.7
48,"(2, (0.1, 0.9), (150, 500))",1,1,1,1,1,1,1,1,1,1,1,0.72,0.67003367,0.752525253,0.72,0.68,0.72,0.72,0.664771033,0.726839144,0.72
